,LID,FORECLOSED
111,397000000000.0,False
112,378000000000.0,False
113,813000000000.0,False
114,259000000000.0,False
115,274000000000.0,False
116,495000000000.0,False
117,468000000000.0,False
118,903000000000.0,False
119,444000000000.0,False
120,465000000000.0,False
121,125000000000.0,False
122,764000000000.0,False
123,804000000000.0,False
124,926000000000.0,False
125,369000000000.0,False
126,604000000000.0,False
127,659000000000.0,False
128,434000000000.0,False
129,441000000000.0,False
130,724000000000.0,False
131,193000000000.0,False
132,761000000000.0,False
133,247000000000.0,False
134,641000000000.0,False
135,703000000000.0,False
136,994000000000.0,False
137,109000000000.0,False
138,601000000000.0,False
139,382000000000.0,False
140,981000000000.0,False
141,998000000000.0,False
142,299000000000.0,False
143,977000000000.0,False
144,195000000000.0,False
145,918000000000.0,False
146,817000000000.0,False
147,675000000000.0,False
148,746000000000.0,False
149,436000000000.0,True
150,780000000000.0,False
151,904000000000.0,False
152,547000000000.0,False
153,626000000000.0,False
154,461000000000.0,False
155,590000000000.0,False
156,291000000000.0,False
157,900000000000.0,False
158,427000000000.0,False
159,403000000000.0,False
160,617000000000.0,False
161,312000000000.0,False
162,693000000000.0,False
163,546000000000.0,False
164,406000000000.0,False
165,647000000000.0,False
166,105000000000.0,False
167,290000000000.0,False
168,273000000000.0,False
169,784000000000.0,False
170,813000000000.0,False
171,943000000000.0,False
172,582000000000.0,False
173,284000000000.0,False
174,184000000000.0,False
175,826000000000.0,False
176,393000000000.0,False
177,653000000000.0,False
178,366000000000.0,False
179,826000000000.0,False
180,979000000000.0,False
181,987000000000.0,False
182,992000000000.0,False
183,141000000000.0,False
184,785000000000.0,False
185,472000000000.0,False
186,859000000000.0,False
187,820000000000.0,False
188,838000000000.0,False
189,852000000000.0,False
190,821000000000.0,False
191,209000000000.0,False
192,290000000000.0,False
193,562000000000.0,False
194,352000000000.0,False
195,663000000000.0,False
196,595000000000.0,False
197,801000000000.0,False
198,644000000000.0,False
199,734000000000.0,False
200,953000000000.0,False
201,484000000000.0,False
202,749000000000.0,False
203,176000000000.0,False
204,957000000000.0,False
205,746000000000.0,False
206,642000000000.0,True
207,235000000000.0,False
208,615000000000.0,False
209,692000000000.0,False
210,196000000000.0,False
211,481000000000.0,False
212,891000000000.0,False
213,970000000000.0,False
214,341000000000.0,False
215,758000000000.0,False
216,838000000000.0,False
217,778000000000.0,False
218,668000000000.0,False
219,537000000000.0,False
220,376000000000.0,False
221,334000000000.0,False
222,472000000000.0,False
223,526000000000.0,False
224,623000000000.0,False
225,713000000000.0,False
226,937000000000.0,False
227,309000000000.0,False
228,122000000000.0,False
229,256000000000.0,False
230,980000000000.0,False
231,988000000000.0,False
232,725000000000.0,False
233,476000000000.0,False
234,294000000000.0,False
235,198000000000.0,False
236,488000000000.0,False
237,966000000000.0,False
238,876000000000.0,False
239,222000000000.0,False
240,309000000000.0,False
241,434000000000.0,False
242,102000000000.0,False
243,261000000000.0,False
244,218000000000.0,False
245,902000000000.0,False
246,827000000000.0,False
247,793000000000.0,False
248,261000000000.0,False
249,995000000000.0,False
250,263000000000.0,False
251,230000000000.0,False
252,269000000000.0,False
253,502000000000.0,False
254,125000000000.0,False
255,955000000000.0,False
256,919000000000.0,False
257,806000000000.0,False
258,768000000000.0,False
259,636000000000.0,False
260,215000000000.0,False
261,283000000000.0,False
262,746000000000.0,False
263,187000000000.0,False
264,903000000000.0,False
265,803000000000.0,False
266,623000000000.0,False
267,618000000000.0,False
268,123000000000.0,False
269,500000000000.0,False
270,730000000000.0,False
271,129000000000.0,False
